Train Start Time,Station Name,Scheduled Time
,Chatrapati Sambhaji Udyan,08:04:48
,PMC,08:07:16
,District Court,08:09:44
,Mangalwar Peth,08:12:12
,Pune Railway Station,08:14:40
,Ruby Hall Clinic,08:17:08
,Bund Garden,08:19:36
,Yerwada,08:22:04
,Kalyani Nagar,08:24:32
,Ramwadi,08:27:00
08:00:00,Vanaz,08:00:00
,Anand Nagar,08:02:28
,Ideal Colony,08:04:56
,Nal Stop,08:07:24
,Garware College,08:09:52
,Deccan Gymkhana,08:12:20
,Chatrapati Sambhaji Udyan,08:14:48
,PMC,08:17:16
,District Court,08:19:44
,Mangalwar Peth,08:22:12
,Pune Railway Station,08:24:40
,Ruby Hall Clinic,08:27:08
,Bund Garden,08:29:36
,Yerwada,08:32:04
,Kalyani Nagar,08:34:32
,Ramwadi,08:37:00
08:07:00,Vanaz,08:07:00
,Anand Nagar,08:09:28
,Ideal Colony,08:11:56
,Nal Stop,08:14:24
,Garware College,08:16:52
,Deccan Gymkhana,08:19:20
,Chatrapati Sambhaji Udyan,08:21:48
,PMC,08:24:16
,District Court,08:26:44
,Mangalwar Peth,08:29:12
,Pune Railway Station,08:31:40
,Ruby Hall Clinic,08:34:08
,Bund Garden,08:36:36
,Yerwada,08:39:04
,Kalyani Nagar,08:41:32
,Ramwadi,08:44:00
08:14:00,Vanaz,08:14:00
,Anand Nagar,08:16:28
,Ideal Colony,08:18:56
,Nal Stop,08:21:24
,Garware College,08:23:52
,Deccan Gymkhana,08:26:20
,Chatrapati Sambhaji Udyan,08:28:48
,PMC,08:31:16
,District Court,08:33:44
,Mangalwar Peth,08:36:12
,Pune Railway Station,08:38:40
,Ruby Hall Clinic,08:41:08
,Bund Garden,08:43:36
,Yerwada,08:46:04
,Kalyani Nagar,08:48:32
,Ramwadi,08:51:00
08:21:00,Vanaz,08:21:00
,Anand Nagar,08:23:28
,Ideal Colony,08:25:56
,Nal Stop,08:28:24
,Garware College,08:30:52
,Deccan Gymkhana,08:33:20
,Chatrapati Sambhaji Udyan,08:35:48
,PMC,08:38:16
,District Court,08:40:44
,Mangalwar Peth,08:43:12
,Pune Railway Station,08:45:40
,Ruby Hall Clinic,08:48:08
,Bund Garden,08:50:36
,Yerwada,08:53:04
,Kalyani Nagar,08:55:32
,Ramwadi,08:58:00
08:28:00,Vanaz,08:28:00
,Anand Nagar,08:30:28
,Ideal Colony,08:32:56
,Nal Stop,08:35:24
,Garware College,08:37:52
,Deccan Gymkhana,08:40:20
,Chatrapati Sambhaji Udyan,08:42:48
,PMC,08:45:16
,District Court,08:47:44
,Mangalwar Peth,08:50:12
,Pune Railway Station,08:52:40
,Ruby Hall Clinic,08:55:08
,Bund Garden,08:57:36
,Yerwada,09:00:04
,Kalyani Nagar,09:02:32
,Ramwadi,09:05:00
08:35:00,Vanaz,08:35:00
,Anand Nagar,08:37:28
,Ideal Colony,08:39:56
,Nal Stop,08:42:24
,Garware College,08:44:52
,Deccan Gymkhana,08:47:20
,Chatrapati Sambhaji Udyan,08:49:48
,PMC,08:52:16
,District Court,08:54:44
,Mangalwar Peth,08:57:12
,Pune Railway Station,08:59:40
,Ruby Hall Clinic,09:02:08
,Bund Garden,09:04:36
,Yerwada,09:07:04
,Kalyani Nagar,09:09:32
,Ramwadi,09:12:00
08:42:00,Vanaz,08:42:00
,Anand Nagar,08:44:28
,Ideal Colony,08:46:56
,Nal Stop,08:49:24
,Garware College,08:51:52
,Deccan Gymkhana,08:54:20
,Chatrapati Sambhaji Udyan,08:56:48
,PMC,08:59:16
,District Court,09:01:44
,Mangalwar Peth,09:04:12
,Pune Railway Station,09:06:40
,Ruby Hall Clinic,09:09:08
,Bund Garden,09:11:36
,Yerwada,09:14:04
,Kalyani Nagar,09:16:32
,Ramwadi,09:19:00
08:49:00,Vanaz,08:49:00
,Anand Nagar,08:51:28
,Ideal Colony,08:53:56
,Nal Stop,08:56:24
,Garware College,08:58:52
,Deccan Gymkhana,09:01:20
,Chatrapati Sambhaji Udyan,09:03:48
,PMC,09:06:16
,District Court,09:08:44
,Mangalwar Peth,09:11:12
,Pune Railway Station,09:13:40
,Ruby Hall Clinic,09:16:08
,Bund Garden,09:18:36
,Yerwada,09:21:04
,Kalyani Nagar,09:23:32
,Ramwadi,09:26:00
08:56:00,Vanaz,08:56:00
,Anand Nagar,08:58:28
,Ideal Colony,09:00:56
,Nal Stop,09:03:24
,Garware College,09:05:52
,Deccan Gymkhana,09:08:20
,Chatrapati Sambhaji Udyan,09:10:48
,PMC,09:13:16
,District Court,09:15:44
,Mangalwar Peth,09:18:12
,Pune Railway Station,09:20:40
,Ruby Hall Clinic,09:23:08
,Bund Garden,09:25:36
,Yerwada,09:28:04
,Kalyani Nagar,09:30:32
,Ramwadi,09:33:00
09:03:00,Vanaz,09:03:00
,Anand Nagar,09:05:28
,Ideal Colony,09:07:56
,Nal Stop,09:10:24
,Garware College,09:12:52
,Deccan Gymkhana,09:15:20
,Chatrapati Sambhaji Udyan,09:17:48
,PMC,09:20:16
,District Court,09:22:44
,Mangalwar Peth,09:25:12
,Pune Railway Station,09:27:40
,Ruby Hall Clinic,09:30:08
,Bund Garden,09:32:36
,Yerwada,09:35:04
,Kalyani Nagar,09:37:32
,Ramwadi,09:40:00
09:10:00,Vanaz,09:10:00
,Anand Nagar,09:12:28
,Ideal Colony,09:14:56
,Nal Stop,09:17:24
,Garware College,09:19:52
,Deccan Gymkhana,09:22:20
,Chatrapati Sambhaji Udyan,09:24:48
,PMC,09:27:16
,District Court,09:29:44
,Mangalwar Peth,09:32:12
,Pune Railway Station,09:34:40
,Ruby Hall Clinic,09:37:08
,Bund Garden,09:39:36
,Yerwada,09:42:04
,Kalyani Nagar,09:44:32
,Ramwadi,09:47:00
09:17:00,Vanaz,09:17:00
,Anand Nagar,09:19:28
,Ideal Colony,09:21:56
,Nal Stop,09:24:24
,Garware College,09:26:52
,Deccan Gymkhana,09:29:20
,Chatrapati Sambhaji Udyan,09:31:48
,PMC,09:34:16
,District Court,09:36:44
,Mangalwar Peth,09:39:12
,Pune Railway Station,09:41:40
,Ruby Hall Clinic,09:44:08
,Bund Garden,09:46:36
,Yerwada,09:49:04
,Kalyani Nagar,09:51:32
,Ramwadi,09:54:00
09:24:00,Vanaz,09:24:00
,Anand Nagar,09:26:28
,Ideal Colony,09:28:56
,Nal Stop,09:31:24
,Garware College,09:33:52
,Deccan Gymkhana,09:36:20
,Chatrapati Sambhaji Udyan,09:38:48
,PMC,09:41:16
,District Court,09:43:44
,Mangalwar Peth,09:46:12
,Pune Railway Station,09:48:40
,Ruby Hall Clinic,09:51:08
,Bund Garden,09:53:36
,Yerwada,09:56:04
,Kalyani Nagar,09:58:32
,Ramwadi,10:01:00
09:31:00,Vanaz,09:31:00
,Anand Nagar,09:33:28
,Ideal Colony,09:35:56
,Nal Stop,09:38:24
,Garware College,09:40:52
,Deccan Gymkhana,09:43:20
,Chatrapati Sambhaji Udyan,09:45:48
,PMC,09:48:16
,District Court,09:50:44
,Mangalwar Peth,09:53:12
,Pune Railway Station,09:55:40
,Ruby Hall Clinic,09:58:08
,Bund Garden,10:00:36
,Yerwada,10:03:04
,Kalyani Nagar,10:05:32
,Ramwadi,10:08:00
09:38:00,Vanaz,09:38:00
,Anand Nagar,09:40:28
,Ideal Colony,09:42:56
,Nal Stop,09:45:24
,Garware College,09:47:52
,Deccan Gymkhana,09:50:20
,Chatrapati Sambhaji Udyan,09:52:48
,PMC,09:55:16
,District Court,09:57:44
,Mangalwar Peth,10:00:12
,Pune Railway Station,10:02:40
,Ruby Hall Clinic,10:05:08
,Bund Garden,10:07:36
,Yerwada,10:10:04
,Kalyani Nagar,10:12:32
,Ramwadi,10:15:00
09:45:00,Vanaz,09:45:00
,Anand Nagar,09:47:28
,Ideal Colony,09:49:56
,Nal Stop,09:52:24
,Garware College,09:54:52
,Deccan Gymkhana,09:57:20
,Chatrapati Sambhaji Udyan,09:59:48
,PMC,10:02:16
,District Court,10:04:44
,Mangalwar Peth,10:07:12
,Pune Railway Station,10:09:40
,Ruby Hall Clinic,10:12:08
,Bund Garden,10:14:36
,Yerwada,10:17:04
,Kalyani Nagar,10:19:32
,Ramwadi,10:22:00
09:52:00,Vanaz,09:52:00
,Anand Nagar,09:54:28
,Ideal Colony,09:56:56
,Nal Stop,09:59:24
,Garware College,10:01:52
,Deccan Gymkhana,10:04:20
,Chatrapati Sambhaji Udyan,10:06:48
,PMC,10:09:16
,District Court,10:11:44
,Mangalwar Peth,10:14:12
,Pune Railway Station,10:16:40
,Ruby Hall Clinic,10:19:08
,Bund Garden,10:21:36
,Yerwada,10:24:04
,Kalyani Nagar,10:26:32
,Ramwadi,10:29:00
09:59:00,Vanaz,09:59:00
,Anand Nagar,10:01:28
,Ideal Colony,10:03:56
,Nal Stop,10:06:24
,Garware College,10:08:52
,Deccan Gymkhana,10:11:20
,Chatrapati Sambhaji Udyan,10:13:48
,PMC,10:16:16
,District Court,10:18:44
,Mangalwar Peth,10:21:12
,Pune Railway Station,10:23:40
,Ruby Hall Clinic,10:26:08
,Bund Garden,10:28:36
,Yerwada,10:31:04
,Kalyani Nagar,10:33:32
,Ramwadi,10:36:00
10:06:00,Vanaz,10:06:00
,Anand Nagar,10:08:28
,Ideal Colony,10:10:56
,Nal Stop,10:13:24
,Garware College,10:15:52
,Deccan Gymkhana,10:18:20
,Chatrapati Sambhaji Udyan,10:20:48
,PMC,10:23:16
,District Court,10:25:44
,Mangalwar Peth,10:28:12
,Pune Railway Station,10:30:40
,Ruby Hall Clinic,10:33:08
,Bund Garden,10:35:36
,Yerwada,10:38:04
,Kalyani Nagar,10:40:32
,Ramwadi,10:43:00
10:13:00,Vanaz,10:13:00
,Anand Nagar,10:15:28
,Ideal Colony,10:17:56
,Nal Stop,10:20:24
,Garware College,10:22:52
,Deccan Gymkhana,10:25:20
,Chatrapati Sambhaji Udyan,10:27:48
,PMC,10:30:16
,District Court,10:32:44
,Mangalwar Peth,10:35:12
,Pune Railway Station,10:37:40
,Ruby Hall Clinic,10:40:08
,Bund Garden,10:42:36
,Yerwada,10:45:04
,Kalyani Nagar,10:47:32
,Ramwadi,10:50:00
10:20:00,Vanaz,10:20:00
,Anand Nagar,10:22:28
,Ideal Colony,10:24:56
,Nal Stop,10:27:24
,Garware College,10:29:52
,Deccan Gymkhana,10:32:20
,Chatrapati Sambhaji Udyan,10:34:48
,PMC,10:37:16
,District Court,10:39:44
,Mangalwar Peth,10:42:12
,Pune Railway Station,10:44:40
,Ruby Hall Clinic,10:47:08
,Bund Garden,10:49:36
,Yerwada,10:52:04
,Kalyani Nagar,10:54:32
,Ramwadi,10:57:00
10:27:00,Vanaz,10:27:00
,Anand Nagar,10:29:28
,Ideal Colony,10:31:56
,Nal Stop,10:34:24
,Garware College,10:36:52
,Deccan Gymkhana,10:39:20
,Chatrapati Sambhaji Udyan,10:41:48
,PMC,10:44:16
,District Court,10:46:44
,Mangalwar Peth,10:49:12
,Pune Railway Station,10:51:40
,Ruby Hall Clinic,10:54:08
,Bund Garden,10:56:36
,Yerwada,10:59:04
,Kalyani Nagar,11:01:32
,Ramwadi,11:04:00
10:34:00,Vanaz,10:34:00
,Anand Nagar,10:36:28
,Ideal Colony,10:38:56
,Nal Stop,10:41:24
,Garware College,10:43:52
,Deccan Gymkhana,10:46:20
,Chatrapati Sambhaji Udyan,10:48:48
,PMC,10:51:16
,District Court,10:53:44
,Mangalwar Peth,10:56:12
,Pune Railway Station,10:58:40
,Ruby Hall Clinic,11:01:08
,Bund Garden,11:03:36
,Yerwada,11:06:04
,Kalyani Nagar,11:08:32
,Ramwadi,11:11:00
10:41:00,Vanaz,10:41:00
,Anand Nagar,10:43:28
,Ideal Colony,10:45:56
,Nal Stop,10:48:24
,Garware College,10:50:52
,Deccan Gymkhana,10:53:20
,Chatrapati Sambhaji Udyan,10:55:48
,PMC,10:58:16
,District Court,11:00:44
,Mangalwar Peth,11:03:12
,Pune Railway Station,11:05:40
,Ruby Hall Clinic,11:08:08
,Bund Garden,11:10:36
,Yerwada,11:13:04
,Kalyani Nagar,11:15:32
,Ramwadi,11:18:00
10:48:00,Vanaz,10:48:00
,Anand Nagar,10:50:28
,Ideal Colony,10:52:56
,Nal Stop,10:55:24
,Garware College,10:57:52
,Deccan Gymkhana,11:00:20
,Chatrapati Sambhaji Udyan,11:02:48
,PMC,11:05:16
,District Court,11:07:44
,Mangalwar Peth,11:10:12
,Pune Railway Station,11:12:40
,Ruby Hall Clinic,11:15:08
,Bund Garden,11:17:36
,Yerwada,11:20:04
,Kalyani Nagar,11:22:32
,Ramwadi,11:25:00
10:55:00,Vanaz,10:55:00
,Anand Nagar,10:57:28
,Ideal Colony,10:59:56
,Nal Stop,11:02:24
,Garware College,11:04:52
,Deccan Gymkhana,11:07:20
,Chatrapati Sambhaji Udyan,11:09:48
,PMC,11:12:16
,District Court,11:14:44
,Mangalwar Peth,11:17:12
,Pune Railway Station,11:19:40
,Ruby Hall Clinic,11:22:08
,Bund Garden,11:24:36
,Yerwada,11:27:04
,Kalyani Nagar,11:29:32
,Ramwadi,11:32:00
11:02:00,Vanaz,11:02:00
,Anand Nagar,11:04:28
,Ideal Colony,11:06:56
,Nal Stop,11:09:24
,Garware College,11:11:52
,Deccan Gymkhana,11:14:20
,Chatrapati Sambhaji Udyan,11:16:48
,PMC,11:19:16
,District Court,11:21:44
,Mangalwar Peth,11:24:12
,Pune Railway Station,11:26:40
,Ruby Hall Clinic,11:29:08
,Bund Garden,11:31:36
,Yerwada,11:34:04
,Kalyani Nagar,11:36:32
,Ramwadi,11:39:00
11:12:00,Vanaz,11:12:00
,Anand Nagar,11:14:28
,Ideal Colony,11:16:56
,Nal Stop,11:19:24
,Garware College,11:21:52
,Deccan Gymkhana,11:24:20
,Chatrapati Sambhaji Udyan,11:26:48
,PMC,11:29:16
,District Court,11:31:44
,Mangalwar Peth,11:34:12
,Pune Railway Station,11:36:40
,Ruby Hall Clinic,11:39:08
,Bund Garden,11:41:36
,Yerwada,11:44:04
,Kalyani Nagar,11:46:32
,Ramwadi,11:49:00
11:22:00,Vanaz,11:22:00
,Anand Nagar,11:24:28
,Ideal Colony,11:26:56
,Nal Stop,11:29:24
,Garware College,11:31:52
,Deccan Gymkhana,11:34:20
,Chatrapati Sambhaji Udyan,11:36:48
,PMC,11:39:16
,District Court,11:41:44
,Mangalwar Peth,11:44:12
,Pune Railway Station,11:46:40
,Ruby Hall Clinic,11:49:08
,Bund Garden,11:51:36
,Yerwada,11:54:04
,Kalyani Nagar,11:56:32
,Ramwadi,11:59:00
11:32:00,Vanaz,11:32:00
,Anand Nagar,11:34:28
,Ideal Colony,11:36:56
,Nal Stop,11:39:24
,Garware College,11:41:52
,Deccan Gymkhana,11:44:20
,Chatrapati Sambhaji Udyan,11:46:48
,PMC,11:49:16
,District Court,11:51:44
,Mangalwar Peth,11:54:12
,Pune Railway Station,11:56:40
,Ruby Hall Clinic,11:59:08
,Bund Garden,12:01:36
,Yerwada,12:04:04
,Kalyani Nagar,12:06:32
,Ramwadi,12:09:00
11:42:00,Vanaz,11:42:00
,Anand Nagar,11:44:28
,Ideal Colony,11:46:56
,Nal Stop,11:49:24
,Garware College,11:51:52
,Deccan Gymkhana,11:54:20
,Chatrapati Sambhaji Udyan,11:56:48
,PMC,11:59:16
,District Court,12:01:44
,Mangalwar Peth,12:04:12
,Pune Railway Station,12:06:40
,Ruby Hall Clinic,12:09:08
,Bund Garden,12:11:36
,Yerwada,12:14:04
,Kalyani Nagar,12:16:32
,Ramwadi,12:19:00
11:52:00,Vanaz,11:52:00
,Anand Nagar,11:54:28
,Ideal Colony,11:56:56
,Nal Stop,11:59:24
,Garware College,12:01:52
,Deccan Gymkhana,12:04:20
,Chatrapati Sambhaji Udyan,12:06:48
,PMC,12:09:16
,District Court,12:11:44
,Mangalwar Peth,12:14:12
,Pune Railway Station,12:16:40
,Ruby Hall Clinic,12:19:08
,Bund Garden,12:21:36
,Yerwada,12:24:04
,Kalyani Nagar,12:26:32
,Ramwadi,12:29:00
12:02:00,Vanaz,12:02:00
,Anand Nagar,12:04:28
,Ideal Colony,12:06:56
,Nal Stop,12:09:24
,Garware College,12:11:52
,Deccan Gymkhana,12:14:20
,Chatrapati Sambhaji Udyan,12:16:48
,PMC,12:19:16
,District Court,12:21:44
,Mangalwar Peth,12:24:12
,Pune Railway Station,12:26:40
,Ruby Hall Clinic,12:29:08
,Bund Garden,12:31:36
,Yerwada,12:34:04
,Kalyani Nagar,12:36:32
,Ramwadi,12:39:00
12:12:00,Vanaz,12:12:00
,Anand Nagar,12:14:28
,Ideal Colony,12:16:56
,Nal Stop,12:19:24
,Garware College,12:21:52
,Deccan Gymkhana,12:24:20
,Chatrapati Sambhaji Udyan,12:26:48
,PMC,12:29:16
,District Court,12:31:44
,Mangalwar Peth,12:34:12
,Pune Railway Station,12:36:40
,Ruby Hall Clinic,12:39:08
,Bund Garden,12:41:36
,Yerwada,12:44:04
,Kalyani Nagar,12:46:32
,Ramwadi,12:49:00
12:22:00,Vanaz,12:22:00
,Anand Nagar,12:24:28
,Ideal Colony,12:26:56
,Nal Stop,12:29:24
,Garware College,12:31:52
,Deccan Gymkhana,12:34:20
,Chatrapati Sambhaji Udyan,12:36:48
,PMC,12:39:16
,District Court,12:41:44
,Mangalwar Peth,12:44:12
,Pune Railway Station,12:46:40
,Ruby Hall Clinic,12:49:08
,Bund Garden,12:51:36
,Yerwada,12:54:04
,Kalyani Nagar,12:56:32
,Ramwadi,12:59:00
12:32:00,Vanaz,12:32:00
,Anand Nagar,12:34:28
,Ideal Colony,12:36:56
,Nal Stop,12:39:24
,Garware College,12:41:52
,Deccan Gymkhana,12:44:20
,Chatrapati Sambhaji Udyan,12:46:48
,PMC,12:49:16
,District Court,12:51:44
,Mangalwar Peth,12:54:12
,Pune Railway Station,12:56:40
,Ruby Hall Clinic,12:59:08
,Bund Garden,13:01:36
,Yerwada,13:04:04
,Kalyani Nagar,13:06:32
,Ramwadi,13:09:00
12:42:00,Vanaz,12:42:00
,Anand Nagar,12:44:28
,Ideal Colony,12:46:56
,Nal Stop,12:49:24
,Garware College,12:51:52
,Deccan Gymkhana,12:54:20
,Chatrapati Sambhaji Udyan,12:56:48
,PMC,12:59:16
,District Court,13:01:44
,Mangalwar Peth,13:04:12
,Pune Railway Station,13:06:40
,Ruby Hall Clinic,13:09:08
,Bund Garden,13:11:36
,Yerwada,13:14:04
,Kalyani Nagar,13:16:32
,Ramwadi,13:19:00
12:52:00,Vanaz,12:52:00
,Anand Nagar,12:54:28
,Ideal Colony,12:56:56
,Nal Stop,12:59:24
,Garware College,13:01:52
,Deccan Gymkhana,13:04:20
,Chatrapati Sambhaji Udyan,13:06:48
,PMC,13:09:16
,District Court,13:11:44
,Mangalwar Peth,13:14:12
,Pune Railway Station,13:16:40
,Ruby Hall Clinic,13:19:08
,Bund Garden,13:21:36
,Yerwada,13:24:04
,Kalyani Nagar,13:26:32
,Ramwadi,13:29:00
13:02:00,Vanaz,13:02:00
,Anand Nagar,13:04:28
,Ideal Colony,13:06:56
,Nal Stop,13:09:24
,Garware College,13:11:52
,Deccan Gymkhana,13:14:20
,Chatrapati Sambhaji Udyan,13:16:48
,PMC,13:19:16
,District Court,13:21:44
,Mangalwar Peth,13:24:12
,Pune Railway Station,13:26:40
,Ruby Hall Clinic,13:29:08
,Bund Garden,13:31:36
,Yerwada,13:34:04
,Kalyani Nagar,13:36:32
,Ramwadi,13:39:00
13:12:00,Vanaz,13:12:00
,Anand Nagar,13:14:28
,Ideal Colony,13:16:56
,Nal Stop,13:19:24
,Garware College,13:21:52
,Deccan Gymkhana,13:24:20
,Chatrapati Sambhaji Udyan,13:26:48
,PMC,13:29:16
,District Court,13:31:44
,Mangalwar Peth,13:34:12
,Pune Railway Station,13:36:40
,Ruby Hall Clinic,13:39:08
,Bund Garden,13:41:36
,Yerwada,13:44:04
,Kalyani Nagar,13:46:32
,Ramwadi,13:49:00
13:22:00,Vanaz,13:22:00
,Anand Nagar,13:24:28
,Ideal Colony,13:26:56
,Nal Stop,13:29:24
,Garware College,13:31:52
,Deccan Gymkhana,13:34:20
,Chatrapati Sambhaji Udyan,13:36:48
,PMC,13:39:16
,District Court,13:41:44
,Mangalwar Peth,13:44:12
,Pune Railway Station,13:46:40
,Ruby Hall Clinic,13:49:08
,Bund Garden,13:51:36
,Yerwada,13:54:04
,Kalyani Nagar,13:56:32
,Ramwadi,13:59:00
13:32:00,Vanaz,13:32:00
,Anand Nagar,13:34:28
,Ideal Colony,13:36:56
,Nal Stop,13:39:24
,Garware College,13:41:52
,Deccan Gymkhana,13:44:20
,Chatrapati Sambhaji Udyan,13:46:48
,PMC,13:49:16
,District Court,13:51:44
,Mangalwar Peth,13:54:12
,Pune Railway Station,13:56:40
,Ruby Hall Clinic,13:59:08
,Bund Garden,14:01:36
,Yerwada,14:04:04
,Kalyani Nagar,14:06:32
,Ramwadi,14:09:00
13:42:00,Vanaz,13:42:00
,Anand Nagar,13:44:28
,Ideal Colony,13:46:56
,Nal Stop,13:49:24
,Garware College,13:51:52
,Deccan Gymkhana,13:54:20
,Chatrapati Sambhaji Udyan,13:56:48
,PMC,13:59:16
,District Court,14:01:44
,Mangalwar Peth,14:04:12
,Pune Railway Station,14:06:40
,Ruby Hall Clinic,14:09:08
,Bund Garden,14:11:36
,Yerwada,14:14:04
,Kalyani Nagar,14:16:32
,Ramwadi,14:19:00
13:52:00,Vanaz,13:52:00
,Anand Nagar,13:54:28
,Ideal Colony,13:56:56
,Nal Stop,13:59:24
,Garware College,14:01:52
,Deccan Gymkhana,14:04:20
,Chatrapati Sambhaji Udyan,14:06:48
,PMC,14:09:16
,District Court,14:11:44
,Mangalwar Peth,14:14:12
,Pune Railway Station,14:16:40
,Ruby Hall Clinic,14:19:08
,Bund Garden,14:21:36
,Yerwada,14:24:04
,Kalyani Nagar,14:26:32
,Ramwadi,14:29:00
14:02:00,Vanaz,14:02:00
,Anand Nagar,14:04:28
,Ideal Colony,14:06:56
,Nal Stop,14:09:24
